Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description;Year Code;Year;Item Code;Item;Months Code;Months;Element Code;Element;Unit;Value;Flag;Flag Description;Note
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;1990;1990;t;1464856;A;Official figure;-;-;-;-;-;-;-;-;-;-;-;-;
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;1991;1991;t;1520382;A;Official figure;-;-;-;-;-;-;-;-;-;-;-;-;
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;1992;1992;t;1294373;A;Official figure;-;-;-;-;-;-;-;-;-;-;-;-;
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;1993;1993;t;1278759;A;Official figure;-;-;-;-;-;-;-;-;-;-;-;-;
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;1994;1994;t;1307289;A;Official figure;-;-;-;-;-;-;-;-;-;-;-;-;
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;1995;1995;t;930135;A;Official figure;-;-;-;-;-;-;-;-;-;-;-;-;
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;1996;1996;t;1369196;A;Official figure;-;-;-;-;-;-;-;-;-;-;-;-;
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;1997;1997;t;1228513;A;Official figure;-;-;-;-;-;-;-;-;-;-;-;-;
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;1998;1998;t;1689366;A;Official figure;-;-;-;-;-;-;-;-;-;-;-;-;
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;1999;1999;t;1631852;A;Official figure;-;-;-;-;-;-;-;-;-;-;-;-;
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;2000;2000;t;1903562;A;Official figure;-;-;-;-;-;-;-;-;-;-;-;-;
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;2001;2001;t;1819569;A;Official figure;2000;2000;23013;Consumer Prices, Food Indices (2015 = 100);7008;August;6125;Value;;32,13215;X;Figure from international organizations;base year is 2015
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;2002;2002;t;2610524;A;Official figure;2001;2001;23013;Consumer Prices, Food Indices (2015 = 100);7008;August;6125;Value;;34,09697;X;Figure from international organizations;base year is 2015
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;2003;2003;t;1987074;A;Official figure;2002;2002;23013;Consumer Prices, Food Indices (2015 = 100);7008;August;6125;Value;;36,569534;X;Figure from international organizations;base year is 2015
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;2004;2004;t;2465710;A;Official figure;2003;2003;23013;Consumer Prices, Food Indices (2015 = 100);7008;August;6125;Value;;44,465621;X;Figure from international organizations;base year is 2015
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;2005;2005;t;2140169;A;Official figure;2004;2004;23013;Consumer Prices, Food Indices (2015 = 100);7008;August;6125;Value;;46,956522;X;Figure from international organizations;base year is 2015
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;2006;2006;t;2573368;A;Official figure;2005;2005;23013;Consumer Prices, Food Indices (2015 = 100);7008;August;6125;Value;;47,43765;X;Figure from international organizations;base year is 2015
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;2007;2007;t;2249011;A;Official figure;2006;2006;23013;Consumer Prices, Food Indices (2015 = 100);7008;August;6125;Value;;47,438777;X;Figure from international organizations;base year is 2015
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;2008;2008;t;2796927;A;Official figure;2007;2007;23013;Consumer Prices, Food Indices (2015 = 100);7008;August;6125;Value;;51,851708;X;Figure from international organizations;base year is 2015
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;2009;2009;t;2440056;A;Official figure;2008;2008;23013;Consumer Prices, Food Indices (2015 = 100);7008;August;6125;Value;;58,980652;X;Figure from international organizations;base year is 2015
QCL;Crops and livestock products;21;Brazil;5510;Production;656;Coffee, green;2010;2010;t;2907265;A;Official figure;2009;2009;23013;Consumer Prices, Food Indices (2015 = 100);7008;August;6125;Value;;61,337343;X;Figure from international organizations;base year is 2015
