Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description;Domain Code;Domain;Area Code;Area;Element Code;Element;Months Code;Months;Year Code;Year;Unit;Value;Flag;Flag Description
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1990;1990;1000 USD;3483066;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1990;1990;°c;0,446;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1991;1991;1000 USD;3615094;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1991;1991;°c;0,452;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1992;1992;1000 USD;3077700;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1992;1992;°c;0,391;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1993;1993;1000 USD;3040574;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1993;1993;°c;0,455;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1994;1994;1000 USD;3108411;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1994;1994;°c;0,605;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1995;1995;1000 USD;2211632;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1995;1995;°c;0,787;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1996;1996;1000 USD;3255610;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1996;1996;°c;0,509;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1997;1997;1000 USD;2921101;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1997;1997;°c;0,703;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1998;1998;1000 USD;4016896;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1998;1998;°c;1,253;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1999;1999;1000 USD;3880142;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1999;1999;°c;0,559;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2000;2000;1000 USD;4526201;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2000;2000;°c;0,533;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2001;2001;1000 USD;4326486;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2001;2001;°c;0,795;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2002;2002;1000 USD;6207182;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2002;2002;°c;1,071;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2003;2003;1000 USD;4724772;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2003;2003;°c;0,964;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2004;2004;1000 USD;5862850;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2004;2004;°c;0,82;E;Estimated value
